uniprot	genbank
Q56008	M86351
Q6A0I4	JN129500
Q6A0I4	AJ810119
Q6A0I3	AJ810119
Q47RJ7	CP000088
Q47RJ6	CP000088
G8GER6	JN129499
E5BBQ3	FR727681
D4Q9N1	AB445476
F7IX06	AB445476
E9LVH8	HQ147785
E9LVH9	HQ147786
E9LVI0	HQ147787
E9LVH7	HQ147784
H6WX58	JQ339742
E0Z5H1	HM193859
G9BY57	HQ704839
E5BBQ2	FR727680
D1A9G5	CP001738
D1A2H1	CP001738
W0TJ64	AB728484
W0TJ64	FOWS01000003
A0A0K8P6T7	BBYR01000074
A5I055	AM412317
